id,name_cn,name_en,category,summary,meaning,visual_keywords,image_size,source_note
001,缠枝莲纹,Interlocking Lotus Scroll Pattern,植物花卉纹,以莲花与卷曲藤蔓连续展开，常见于瓷器、织锦与建筑装饰。,清雅、连绵、生生不息,莲花、卷草、连续藤蔓、青绿白描,1086x1448,原创生成与再设计，不直接复制具体文物图案。
002,宝相花纹,Baoxiang Floral Pattern,植物花卉纹,融合莲花、牡丹等花形的理想化花卉纹样，形态饱满华丽。,庄严、富贵、圆满,对称团花、层叠花瓣、鎏金边线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
003,牡丹纹,Peony Pattern,植物花卉纹,牡丹被视为富贵之花，常用于瓷器、织绣、漆器与家具装饰。,富贵、繁荣、华美,盛开牡丹、卷叶、朱砂粉绿,1086x1448,原创生成与再设计，不直接复制具体文物图案。
004,菊花纹,Chrysanthemum Pattern,植物花卉纹,菊花纹线条舒展，常见于器物、织物和文人审美图案中。,高洁、长寿、清雅,重瓣菊花、圆形构图、淡黄墨线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
005,莲瓣纹,Lotus Petal Pattern,植物花卉纹,由莲花花瓣环绕组成，常见于佛教器物、瓷器口沿和器座装饰。,清净、庄重、安宁,环形莲瓣、层层排列、对称构成,1086x1448,原创生成与再设计，不直接复制具体文物图案。
006,卷草纹,Scroll Grass Pattern,植物花卉纹,以卷曲草叶连续延展，常作为边饰或填充纹样。,生命力、延展、装饰韵律,藤草卷曲、连续边饰、墨绿线条,1086x1448,原创生成与再设计，不直接复制具体文物图案。
007,忍冬纹,Honeysuckle Pattern,植物花卉纹,忍冬纹枝叶翻卷灵动，常用于石刻、壁画和器物装饰。,生命延续、坚韧、繁盛,忍冬叶、翻卷叶片、古典石刻感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
008,唐草纹,Tang Scroll Pattern,植物花卉纹,以蔓草连续缠绕为特征，结构自由华丽，适合背景与边饰设计。,繁盛、流动、华丽,蔓草、花叶交织、唐风装饰,1086x1448,原创生成与再设计，不直接复制具体文物图案。
009,石榴纹,Pomegranate Pattern,植物花卉纹,石榴多籽，常见于织绣、瓷器与民俗装饰。,多子多福、家族兴旺,裂开石榴、多籽、花叶环绕,1086x1448,原创生成与再设计，不直接复制具体文物图案。
010,梅花纹,Plum Blossom Pattern,植物花卉纹,梅花凌寒开放，是传统纹样中极具文人气质的花卉主题。,坚韧、高洁、春信,五瓣梅花、枝干、留白、墨色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
011,兰草纹,Orchid Pattern,植物花卉纹,兰草纹清秀舒展，常表现幽雅、品格与文人气息。,清雅、品格、君子气,兰叶舒展、细线条、淡墨青绿,1086x1448,原创生成与再设计，不直接复制具体文物图案。
012,竹叶纹,Bamboo Leaf Pattern,植物花卉纹,竹叶纹常见于书画、器物和园林装饰图案。,虚心、气节、平安,竹叶、竹节、疏密构图,1086x1448,原创生成与再设计，不直接复制具体文物图案。
013,松针纹,Pine Needle Pattern,植物花卉纹,松针纹可用于表现古朴、沉稳、清雅的视觉氛围。,长寿、坚贞、稳重,松枝松针、墨绿、古雅构图,1086x1448,原创生成与再设计，不直接复制具体文物图案。
014,桃花纹,Peach Blossom Pattern,植物花卉纹,桃花纹轻盈明丽，适合表现春日与美好祝愿。,生机、姻缘、美好,桃花、枝叶、粉色淡彩,1086x1448,原创生成与再设计，不直接复制具体文物图案。
015,海棠纹,Begonia Pattern,植物花卉纹,海棠纹柔美端庄，常用于织绣、窗格、家具与器物装饰。,富贵满堂、柔美、雅致,海棠花形、圆润花瓣、对称,1086x1448,原创生成与再设计，不直接复制具体文物图案。
016,荷叶纹,Lotus Leaf Pattern,植物花卉纹,荷叶纹常与莲花组合出现，叶片舒展，具有自然意象。,清净、自然、舒展,大荷叶、莲茎、水面留白,1086x1448,原创生成与再设计，不直接复制具体文物图案。
017,葡萄藤纹,Grape Vine Pattern,植物花卉纹,葡萄藤蔓枝叶繁密，果实成串，适合丰收主题纹样。,丰收、多子、繁盛,葡萄串、藤蔓、叶片缠绕,1086x1448,原创生成与再设计，不直接复制具体文物图案。
018,葫芦藤纹,Gourd Vine Pattern,植物花卉纹,葫芦藤纹常用于吉祥主题装饰，形态亲切而富有民俗感。,福禄、绵延、护佑,葫芦、藤蔓、卷须、连续纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
019,折枝花纹,Broken-Branch Floral Pattern,植物花卉纹,折枝花以单枝花卉入纹，构图灵活，常见于瓷器、织物与装饰画。,雅致、自然、灵动,单枝花、花叶组合、留白,1086x1448,原创生成与再设计，不直接复制具体文物图案。
020,团花纹,Medallion Floral Pattern,植物花卉纹,团花纹以圆形花卉构成中心图案，结构完整饱满。,圆满、和美、富丽,圆形团花、中心对称、花叶层叠,1086x1448,原创生成与再设计，不直接复制具体文物图案。
021,龙纹,Dragon Pattern,动物瑞兽纹,龙纹是中国传统纹样中的核心祥瑞题材，常见于服饰、器物和建筑装饰。,威仪、力量、尊贵、雨水,游龙、祥云、鳞片、金青配色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
022,夔龙纹,Kui Dragon Pattern,动物瑞兽纹,夔龙纹多见于青铜器装饰，形体抽象古拙。,礼制、威严、古朴,单足龙形、青铜感、几何化,1086x1448,原创生成与再设计，不直接复制具体文物图案。
023,螭龙纹,Chi Dragon Pattern,动物瑞兽纹,螭龙纹常见于玉器、建筑和家具装饰，形态盘曲灵动。,守护、祥瑞、灵动,盘曲小龙、卷尾、玉雕感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
024,凤鸟纹,Phoenix Pattern,动物瑞兽纹,凤鸟纹常与花卉、云纹组合，视觉华丽优雅。,祥瑞、高贵、和美,凤凰、羽尾、祥云、朱砂鎏金,1086x1448,原创生成与再设计，不直接复制具体文物图案。
025,夔凤纹,Kui Phoenix Pattern,动物瑞兽纹,夔凤纹形态古雅，多以抽象鸟形和卷曲线条构成。,庄重、祥瑞、礼器感,抽象凤鸟、青铜绿、对称构图,1086x1448,原创生成与再设计，不直接复制具体文物图案。
026,麒麟纹,Qilin Pattern,动物瑞兽纹,麒麟是传统瑞兽，常用于建筑、织绣与器物装饰。,仁德、太平、吉祥,麒麟、火焰云、鳞甲、祥瑞感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
027,瑞狮纹,Guardian Lion Pattern,动物瑞兽纹,狮纹常有镇守、威严与辟邪意味，适合作为气势强的纹样主题。,镇守、威严、辟邪,瑞狮、卷毛、绣球、威严造型,1086x1448,原创生成与再设计，不直接复制具体文物图案。
028,饕餮纹,Taotie Mask Pattern,动物瑞兽纹,饕餮纹常见于青铜器，以对称兽面构成，神秘厚重。,神秘、威慑、礼制,对称兽面、青铜纹理、粗线条,1086x1448,原创生成与再设计，不直接复制具体文物图案。
029,兽面纹,Animal Mask Pattern,动物瑞兽纹,兽面纹以抽象动物面部为主体，风格庄重、神秘、古朴。,守护、威严、古意,正面对称兽面、目纹、角纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
030,蝙蝠纹,Bat Pattern,动物瑞兽纹,蝙蝠因“蝠”谐音“福”，常用于吉祥图案。,福气、好运、吉祥,五只蝙蝠、祥云、圆形构图,1086x1448,原创生成与再设计，不直接复制具体文物图案。
031,鹤纹,Crane Pattern,动物瑞兽纹,鹤纹多用于服饰、瓷器、屏风和吉祥图案。,长寿、高洁、仙意,仙鹤、云气、松枝、水面,1086x1448,原创生成与再设计，不直接复制具体文物图案。
032,鹿纹,Deer Pattern,动物瑞兽纹,鹿与“禄”谐音，常与松、鹤、灵芝等元素组合。,俸禄、祥瑞、长寿,梅花鹿、灵芝、松树、山石,1086x1448,原创生成与再设计，不直接复制具体文物图案。
033,鱼纹,Fish Pattern,动物瑞兽纹,鱼纹常见于瓷器、民俗年画和织物装饰。,年年有余、丰足、繁盛,双鱼、水波、莲花、圆形,1086x1448,原创生成与再设计，不直接复制具体文物图案。
034,鲤鱼纹,Carp Pattern,动物瑞兽纹,鲤鱼纹常与跃水、龙门意象相关，具有进取意味。,奋进、顺达、富足,鲤鱼跃浪、水花、云纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
035,鸳鸯纹,Mandarin Duck Pattern,动物瑞兽纹,鸳鸯纹常用于婚庆、织绣与爱情主题装饰。,夫妻和美、成双成对,一对鸳鸯、莲叶、水纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
036,喜鹊纹,Magpie Pattern,动物瑞兽纹,喜鹊纹常与梅花组合，形成喜上眉梢的吉祥意象。,喜事临门、吉庆,喜鹊、梅枝、花苞,1086x1448,原创生成与再设计，不直接复制具体文物图案。
037,马纹,Horse Pattern,动物瑞兽纹,马纹表现速度、力量与进取精神，常见于壁画、器物与民俗装饰。,奔腾、力量、进取,奔马、飘带、云气、动感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
038,龟纹,Turtle Pattern,动物瑞兽纹,龟在传统文化中常与长寿、稳固相关。,长寿、稳固、安宁,龟形、龟甲、几何纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
039,蝴蝶纹,Butterfly Pattern,动物瑞兽纹,蝴蝶纹轻盈灵动，常与花卉组合。,美好、长寿、自由,双蝶、花枝、对称翅纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
040,金蟾纹,Golden Toad Pattern,动物瑞兽纹,金蟾纹带有招财、纳福意味，适合民俗吉祥类纹样展示。,招财、纳福、富足,三足金蟾、铜钱、云纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
041,回纹,Key Fret Pattern,几何锦纹,回纹由连续折线构成，结构规整，适合边框和底纹。,循环往复、生生不息,方形折线、连续边框、黑绿配色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
042,雷纹,Thunder Pattern,几何锦纹,雷纹形似旋转折线，常见于青铜器和陶瓷装饰。,力量、威仪、古朴,方折旋纹、青铜器感、重复排列,1086x1448,原创生成与再设计，不直接复制具体文物图案。
043,云雷纹,Cloud-Thunder Pattern,几何锦纹,云雷纹融合云气与雷纹结构，常作为青铜器底纹。,神秘、礼制、祥瑞,云形卷曲、雷纹底、青铜绿,1086x1448,原创生成与再设计，不直接复制具体文物图案。
044,龟背纹,Tortoiseshell Pattern,几何锦纹,龟背纹由六边形或龟甲形连续组成，结构稳定有序。,长寿、坚固、秩序,六边形网格、花心点缀,1086x1448,原创生成与再设计，不直接复制具体文物图案。
045,菱格纹,Diamond Lattice Pattern,几何锦纹,菱格纹结构简洁明快，常用于织锦、陶瓷和建筑装饰。,秩序、连绵、稳定,菱形网格、连续重复、淡绿,1086x1448,原创生成与再设计，不直接复制具体文物图案。
046,连珠纹,Beaded Pattern,几何锦纹,连珠纹由连续圆点组成，常用于边饰和器物分隔线。,华丽、秩序、连贯,连续圆珠、边框、金色点线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
047,方胜纹,Double-Diamond Pattern,几何锦纹,方胜纹由相连菱形构成，常有同心、相合与吉祥意味。,同心、相合、吉祥,双菱形、交叠结构、锦纹质感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
048,盘长纹,Endless Knot Pattern,几何锦纹,盘长纹线条回环不断，是常见吉祥装饰纹样。,绵延、长久、圆满,无限结、连续线条、朱砂金线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
049,万字锦纹,Wan Character Brocade Pattern,几何锦纹,万字锦纹由传统吉祥符号连续组合，适合作为锦地背景。,万福、绵长、繁盛,几何连续纹、传统吉祥、锦地,1086x1448,原创生成与再设计，不直接复制具体文物图案。
050,锁子纹,Chainmail Pattern,几何锦纹,锁子纹由环状结构连续相扣，装饰感强。,连接、坚固、连续,环环相扣、金属感、连续排列,1086x1448,原创生成与再设计，不直接复制具体文物图案。
051,冰裂纹,Crackle Ice Pattern,几何锦纹,冰裂纹形似自然冰面裂纹，常见于瓷器和窗格。,雅致、清冷、自然变化,不规则裂线、蓝白瓷感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
052,锦地纹,Brocade Ground Pattern,几何锦纹,锦地纹常作为复杂纹样底纹，细密华丽。,繁复、华美、秩序,细密几何底纹、低对比,1086x1448,原创生成与再设计，不直接复制具体文物图案。
053,十字花纹,Cross Floral Pattern,几何锦纹,十字花纹由中心花形与四向结构构成，常见于织物装饰。,四方、平衡、雅致,十字对称、小花、重复排列,1086x1448,原创生成与再设计，不直接复制具体文物图案。
054,六角花纹,Hexagonal Floral Pattern,几何锦纹,六角花纹兼具几何秩序与花卉柔美。,稳定、繁盛、秩序,六角格、花心、青绿白底,1086x1448,原创生成与再设计，不直接复制具体文物图案。
055,八角星纹,Eight-Point Star Pattern,几何锦纹,八角星纹具有放射状结构，视觉稳定醒目。,光明、秩序、中心感,八角星、中心放射、对称,1086x1448,原创生成与再设计，不直接复制具体文物图案。
056,波折纹,Zigzag Wave Pattern,几何锦纹,波折纹由连续折线构成，可表现水势、边界和节奏。,流动、变化、节奏,锯齿折线、水波感、边饰,1086x1448,原创生成与再设计，不直接复制具体文物图案。
057,曲尺纹,Angular Meander Pattern,几何锦纹,曲尺纹以直角转折形成连续路径，风格理性规整。,规矩、秩序、延续,直角转折、边框、墨黑,1086x1448,原创生成与再设计，不直接复制具体文物图案。
058,格锦纹,Lattice Brocade Pattern,几何锦纹,格锦纹由网格与小型花纹组合而成，适合作为织锦底纹。,华美、秩序、丰富,网格、小花、织锦肌理,1086x1448,原创生成与再设计，不直接复制具体文物图案。
059,菱花锦纹,Diamond Floral Brocade Pattern,几何锦纹,菱花锦纹以菱形框架包裹花卉，兼具秩序和装饰性。,和美、规整、繁盛,菱形内花、重复单元,1086x1448,原创生成与再设计，不直接复制具体文物图案。
060,连环纹,Linked Ring Pattern,几何锦纹,连环纹由圆环连续相扣，适合作为边饰或背景纹样。,连接、圆满、延续,圆环相扣、对称重复、金线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
061,祥云纹,Auspicious Cloud Pattern,云水山石纹,祥云纹是传统装饰中常见的吉祥纹样，线条圆润流动。,祥瑞、升腾、美好征兆,卷曲云朵、柔和线条、青蓝,1086x1448,原创生成与再设计，不直接复制具体文物图案。
062,如意云纹,Ruyi Cloud Pattern,云水山石纹,如意云纹结合云形与如意头造型，常用于器物和织物装饰。,称心如意、吉祥圆满,如意头、云气卷曲、对称,1086x1448,原创生成与再设计，不直接复制具体文物图案。
063,卷云纹,Rolling Cloud Pattern,云水山石纹,卷云纹线条盘旋流动，常见于器物、服饰和壁画装饰。,灵动、仙意、升腾,大小卷云、流动节奏,1086x1448,原创生成与再设计，不直接复制具体文物图案。
064,海水江崖纹,Sea Wave and Mountain Pattern,云水山石纹,海水江崖纹常见于服饰下摆，表现浪涛与山石。,江山永固、福泽绵长,海浪、山崖、龙袍边饰感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
065,水波纹,Water Wave Pattern,云水山石纹,水波纹以连续弧线表现水面流动，是常见辅助纹样。,润泽、流转、生命力,层层波浪、靛蓝、白线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
066,浪花纹,Spray Wave Pattern,云水山石纹,浪花纹比水波纹更具动感，适合海涛、江河和龙鱼主题。,活力、流动、奋进,飞溅浪花、曲线、蓝白,1086x1448,原创生成与再设计，不直接复制具体文物图案。
067,山纹,Mountain Pattern,云水山石纹,山纹以层叠山形构成，视觉稳重，适合底纹或主视觉。,稳固、崇高、自然秩序,层叠山峰、几何化、墨青,1086x1448,原创生成与再设计，不直接复制具体文物图案。
068,山水纹,Landscape Pattern,云水山石纹,山水纹将山、云、水组合成装饰图案，具有东方空间感。,清雅、自然、文人意境,远山、流水、云雾、留白,1086x1448,原创生成与再设计，不直接复制具体文物图案。
069,太湖石纹,Taihu Rock Pattern,云水山石纹,太湖石纹以奇石轮廓和孔洞造型为特征，常见于园林审美。,雅趣、文人气、自然奇巧,奇石、孔洞、墨线、淡彩,1086x1448,原创生成与再设计，不直接复制具体文物图案。
070,火焰纹,Flame Pattern,云水山石纹,火焰纹常用于佛教、瑞兽和法器装饰，线条上扬有力量感。,神圣、能量、护佑,火焰尖卷、朱砂金线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
071,流云纹,Flowing Cloud Pattern,云水山石纹,流云纹强调长线条的飘动感，适合表现轻盈和仙气。,飘逸、自由、祥和,横向流动云带、柔线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
072,云气纹,Cloud Vapor Pattern,云水山石纹,云气纹更抽象，常以卷曲气流构成，适合作为辅助底纹。,升腾、灵动、气韵,抽象气流、淡墨、低密度,1086x1448,原创生成与再设计，不直接复制具体文物图案。
073,涡纹,Spiral Pattern,云水山石纹,涡纹由旋转线条构成，可表现水流、云气或古代器物气息。,旋转、流转、神秘,螺旋、重复、古朴,1086x1448,原创生成与再设计，不直接复制具体文物图案。
074,雨点纹,Raindrop Pattern,云水山石纹,雨点纹以点状或泪滴状连续分布，视觉轻巧。,润泽、自然、清新,小雨滴、规律排列、淡蓝,1086x1448,原创生成与再设计，不直接复制具体文物图案。
075,星宿纹,Star Constellation Pattern,云水山石纹,星宿纹源于天象想象，以星点、圆形和线条表现宇宙秩序。,天象、秩序、宏远,星点、圆轨、深蓝金色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
076,如意纹,Ruyi Pattern,吉祥器物纹,如意纹由如意头造型发展而来，常见于边饰与器物装饰。,顺遂、称心、吉祥,如意头、卷草、对称边饰,1086x1448,原创生成与再设计，不直接复制具体文物图案。
077,宝瓶纹,Treasure Vase Pattern,吉祥器物纹,宝瓶纹常作为吉祥器物出现，可与花枝、祥云组合。,平安、富足、聚福,宝瓶、花枝、祥云,1086x1448,原创生成与再设计，不直接复制具体文物图案。
078,双钱纹,Double Coin Pattern,吉祥器物纹,双钱纹由钱币形态组合而成，结构简洁，寓意明确。,财运、圆满、连通,两枚古钱、方孔、金线,1086x1448,原创生成与再设计，不直接复制具体文物图案。
079,铜钱纹,Coin Pattern,吉祥器物纹,铜钱纹以外圆内方为基本形，适合连续纹和底纹设计。,财富、秩序、福运,方孔钱、连续排列、古铜色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
080,花篮纹,Flower Basket Pattern,吉祥器物纹,花篮纹常盛放花卉果实，富有生活美学气息。,富足、祝福、生活美满,花篮、牡丹、石榴、彩色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
081,八宝纹,Eight Treasures Pattern,吉祥器物纹,八宝纹由多种吉祥器物组合而成，常见于瓷器和织物。,吉祥、护佑、圆满,八件宝物、环形排列,1086x1448,原创生成与再设计，不直接复制具体文物图案。
082,暗八仙纹,Hidden Eight Immortals Pattern,吉祥器物纹,暗八仙纹以八仙所持器物代指人物，常用于祝寿与吉祥装饰。,祝寿、祥瑞、仙意,扇、剑、葫芦、花篮等器物,1086x1448,原创生成与再设计，不直接复制具体文物图案。
083,灵芝纹,Lingzhi Pattern,吉祥器物纹,灵芝纹形态柔曲，常与云纹组合成祥瑞图案。,长寿、祥瑞、仙草意象,灵芝、祥云、卷曲菌盖,1086x1448,原创生成与再设计，不直接复制具体文物图案。
084,珊瑚纹,Coral Pattern,吉祥器物纹,珊瑚纹多见于珍宝组合图案，色彩鲜明。,富贵、珍稀、祥瑞,红珊瑚枝、宝石、海波,1086x1448,原创生成与再设计，不直接复制具体文物图案。
085,书卷纹,Scroll Pattern,吉祥器物纹,书卷纹常与文运、学识、雅趣相关，适合文房主题。,学识、文运、雅趣,卷轴、书册、云纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
086,灯笼纹,Lantern Pattern,吉祥器物纹,灯笼纹富有节庆气息，常用于喜庆主题装饰。,团圆、光明、喜庆,宫灯、流苏、红金配色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
087,香炉纹,Incense Burner Pattern,吉祥器物纹,香炉纹具有礼仪、清供与文人空间气质。,清雅、礼仪、安定,香炉、烟云、铜器感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
088,玉璧纹,Jade Bi Pattern,吉祥器物纹,玉璧纹以圆形玉器为灵感，适合简洁庄重的图案设计。,圆满、礼仪、天圆意象,圆璧、玉质纹理、中心孔,1086x1448,原创生成与再设计，不直接复制具体文物图案。
089,扇面纹,Fan Pattern,吉祥器物纹,扇面纹结合折扇形态与花鸟装饰，具有文雅气质。,清雅、生活美学、风雅,折扇、花鸟、扇骨,1086x1448,原创生成与再设计，不直接复制具体文物图案。
090,编磬纹,Chime Stone Pattern,吉祥器物纹,编磬纹取自古代礼乐器形，适合表现礼乐文明。,礼乐、典雅、秩序,磬形、悬挂、青铜金石感,1086x1448,原创生成与再设计，不直接复制具体文物图案。
091,寿字纹,Longevity Character Pattern,文字福寿与组合纹,寿字纹以“寿”字变体构成装饰，常见于祝寿器物与织绣。,长寿安康、福泽绵长,篆体寿字、圆形团寿、边饰,1086x1448,原创生成与再设计，不直接复制具体文物图案。
092,团寿纹,Round Longevity Pattern,文字福寿与组合纹,团寿纹将寿字置于圆形构图中，结构完整。,圆满长寿、安康,圆形寿字、云纹环绕,1086x1448,原创生成与再设计，不直接复制具体文物图案。
093,福字纹,Fortune Character Pattern,文字福寿与组合纹,福字纹以“福”字装饰化展开，常用于年节与家宅装饰。,幸福、福气、家宅安宁,篆体福字、祥云、朱砂,1086x1448,原创生成与再设计，不直接复制具体文物图案。
094,喜字纹,Double Happiness Pattern,文字福寿与组合纹,喜字纹常用于婚庆和喜事场景，视觉识别度高。,成双成对、喜庆圆满,双喜字、花卉、红金配色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
095,福寿纹,Fortune and Longevity Pattern,文字福寿与组合纹,福寿纹将福、寿或蝙蝠、寿桃等元素组合。,福寿双全、圆满安康,蝙蝠、寿桃、寿字、云纹,1086x1448,原创生成与再设计，不直接复制具体文物图案。
096,五福捧寿纹,Five Bats Around Longevity Pattern,文字福寿与组合纹,五只蝙蝠围绕寿字，是经典吉祥组合纹。,五福临门、长寿圆满,五蝠、团寿、圆形对称,1086x1448,原创生成与再设计，不直接复制具体文物图案。
097,双鱼莲花纹,Twin Fish and Lotus Pattern,文字福寿与组合纹,双鱼与莲花组合，常见于民俗和器物装饰。,富足、和美、清净,双鱼、莲花、水波、圆形,1086x1448,原创生成与再设计，不直接复制具体文物图案。
098,鹿鹤同春纹,Deer and Crane Spring Pattern,文字福寿与组合纹,鹿、鹤、松树组合，常用于祝寿和祥瑞主题。,长寿、祥瑞、春和景明,鹿、鹤、松树、祥云,1086x1448,原创生成与再设计，不直接复制具体文物图案。
099,岁寒三友纹,Three Friends of Winter Pattern,文字福寿与组合纹,松、竹、梅并称岁寒三友，极具文人审美。,坚贞、高洁、君子品格,松竹梅组合、文人画风,1086x1448,原创生成与再设计，不直接复制具体文物图案。
100,方圆合璧纹,Square and Circle Harmony Pattern,文字福寿与组合纹,方与圆组合体现秩序、圆融与和谐，适合现代新中式抽象纹样。,和谐、平衡、圆融,外圆内方、几何平衡、金青配色,1086x1448,原创生成与再设计，不直接复制具体文物图案。
